"292","54","62","6","116","696"
"293","54","76","240","12","2880"
"294","54","151","45","135","6075"
"295","54","115","440","29","12760"
"296","54","121","440","1","440"
"305","57","58","150","157","23550"
"306","57","67","100","38","3800"
"307","57","18","1","1967","1967"
"308","57","152","75","150","11250"
"309","57","146","300","12","3600"
"310","57","116","30","16","480"
"311","57","141","320","19","6080"
"312","57","77","50","54","2700"
"313","57","140","2.5","5300","13250"
"314","58","18","6","1967","11802"
"315","58","93","1","7500","7500"
"316","58","76","120","14","1680"
"317","58","20","30","24","720"
"318","58","64","100","8","800"
"319","58","116","10","16","160"
"320","58","77","20","54","1080"
"321","58","79","100","106","10600"
"322","58","67","20","38","760"
"323","58","22","60","87","5220"
"324","58","68","10","186","1860"
"325","59","23","500","15","7500"
"326","59","18","5","1967","9835"
"327","59","76","150","14","2100"
"328","59","64","25","8","200"
"329","59","116","20","16","320"
"331","59","141","30","19","570"
"332","59","133","8","331","2648"
"333","59","127","180","83","14940"
"334","60","76","58","14","812"
"335","60","121","40","1","40"
"336","60","127","250","83","20750"
"337","60","23","250","15","3750"
"338","60","133","10","331","3310"
"339","60","155","7","180","1260"
"340","60","154","75","48","3600"
"341","60","156","4","120","480"
