"104","32","83","3","24781","74343"
"105","32","98","4","24300","97200"
"106","32","128","400","29","11600"
"107","32","130","300","18","5400"
"108","32","38","24","365","8760"
"109","32","23","50","15","750"
"125","40","19","15","2120","31800"
"126","40","71","100","174","17400"
"127","40","121","100","1","100"
"128","40","34","20","135","2700"
"129","40","57","50","41","2050"
"130","40","18","0.5","1967","983.5"
"131","41","64","400","8","3200"
"132","41","58","240","145","34800"
"133","41","18","1","1967","1967"
"134","41","76","150","12","1800"
"135","41","75","150","20","3000"
"136","41","136","10","77","770"
"137","41","137","300","48","14400"
"138","41","133","15","331","4965"
"139","41","140","7","5300","37100"
"140","42","64","370","8","2960"
"141","42","116","45","16","720"
"142","42","77","30","54","1620"
"143","42","56","315","300","94500"
"144","42","141","75","19","1425"
"145","42","97","1.2","12000","14400"
"146","42","76","360","12","4320"
"147","42","18","6","1967","11802"
"148","42","138","4.5","6300","28350"
"149","43","58","125","157","19625"
"150","43","59","125","269","33625"
"151","43","141","90","19","1710"
"152","43","18","2","1967","3934"
"153","43","146","250","12","3000"
"154","43","116","200","16","3200"
"155","43","145","30","18","540"
"156","43","77","30","54","1620"
"157","43","114","50","100","5000"
"158","43","142","110","130","14300"
"159","43","143","25","148","3700"
"160","43","144","100","29","2900"
"161","43","147","200","74","14800"
"162","43","138","3","6300","18900"
"163","44","103","900","13","11700"
"164","44","105","900","14","12600"
"165","44","106","0.3","10000","3000"
"166","44","39","1050","60","63000"
"167","44","35","0.7","6000","4200"
"168","44","20","500","24","12000"
"169","44","110","29","6","174"
"170","44","76","60","12","720"
"171","44","88","117","259","30303"
"172","44","60","16","84","1344"
"173","44","124","6","150","900"
"174","44","64","2000","8","16000"
"175","44","121","800","1","800"
"176","44","37","400","42","16800"
"177","45","39","6000","60","360000"
"178","45","85","700","26","18200"
"179","45","60","33","84","2772"
"180","45","124","8","150","1200"
"181","45","123","22","57","1254"
"182","45","64","1800","8","14400"
"183","45","18","12","1967","23604"
"184","45","37","90","42","3780"
"185","45","115","800","29","23200"
"186","45","110","96","6","576"
"187","45","76","50","12","600"
"188","45","121","1400","1","1400"
"197","47","64","500","8","4000"
"198","47","121","900","1","900"
"199","47","110","10","6","60"
"200","47","84","20","20","400"
"201","47","18","17","1967","33439"
"202","47","25","1000","39","39000"
"203","47","20","250","24","6000"
"204","47","55","0.5","225","112.5"
