133,37,Vanilla Cair ,1000,Gram,331000,331
134,6,Koepoe Soda Kue,81,Gram,4600,57
135,6,Kelapa Kering,500,Gram,24000,48
136,6,Arm & Hammer Baking Soda,454,Gram,35000,77
137,6,Choco Chips,5000,Gram,240000,48
138,6,Toples Hardtop 112,12,Pcs,75600,6300
139,6,Toples Panen Kotak Persegi,12,Pcs,55800,4650
140,6,Toples Hardtop 292,12,Pcs,63600,5300
141,6,Gula Halus,500,Gram,9500,19
142,8,Almond Utuh,1000,Gram,130000,130
143,8,Almond Pecah,250,Gram,37000,148
144,8,cup mini hitam,1000,Pcs,29000,29
145,8,tepung beras,500,Gram,9000,18
146,6,tepung kunci,1000,Gram,12000,12
147,6,Collata Coating,500,Gram,37000,74
148,31,Gula Kelapa Utuh,300,Gram,20500,68
149,13,Potato Flake Knorr,4000,Gram,365000,91
150,2,Beras Ketan Thailand,25000,Gram,475000,19
151,21,ebi kering,1000,Gram,135000,135
152,6,Kacang Mede,1000,Gram,150000,150
153,10,keju edam,1000,Gram,275000,275
154,16,Gulare,1300,Gram,62000,48
155,6,Gelatin,100,Gram,18000,180
156,9,Cup 25 ml,100,Pcs,12000,120
